ID,Asset,Threat,Vulnerability,Likelihood,Impact,Risk Score,Risk Level,Treatment,Control / Mitigation,Risk Owner,Status,Detection Method,Residual Risk
R-001,tshark capture pipeline,Capture failure / packet loss,No health check on tshark subprocess; silent failure if interface goes down,3,4,12,High,Mitigate,Implement process watchdog with auto-restart; add heartbeat logging every 60s; alert on zero-packet windows,Engineering,Open,Monitor tshark PID and packet-count delta,Low
R-002,CSV parser,Malformed CSV injection,Parser does not sanitize tshark output; crafted packets could produce CSV fields that break parsing,2,3,6,Medium,Mitigate,Validate CSV schema before processing; reject rows with unexpected column counts; log and quarantine malformed files,Engineering,Open,Schema validation errors in parse log,Low
R-003,Detection rule engine,False negatives in detection,Static thresholds may miss low-and-slow attacks or attacks just below threshold,4,4,16,Critical,Mitigate,Tune thresholds quarterly based on baseline traffic analysis; add ML anomaly detection in Phase 5; implement rule coverage reporting,Engineering,Open,Periodic detection gap analysis; red team exercises,Medium
R-004,Detection rule engine,False positives / alert fatigue,Thresholds too sensitive for network conditions; operators ignore real alerts,3,3,9,Medium,Mitigate,Implement adaptive baselines per-source-IP; add analyst feedback loop (Phase 6) to tune scores; provide alert suppression for known-good IPs,Engineering,Open,Track false positive rate per rule in dashboard stats,Low
R-005,Pipeline: tshark > CSV > AI > DB,End-to-end pipeline failure,No orchestration or retry logic; single component failure silently drops alerts,3,5,15,High,Mitigate,Add pipeline health endpoint; implement dead-letter queue for failed AI calls; retry with exponential backoff; add pipeline_status table to SQLite,Engineering,Open,Pipeline health dashboard widget; dead-letter queue depth metric,Medium
R-006,Airia AI agent,AI hallucination / incorrect threat classification,LLM may generate plausible but wrong classifications or risk scores,4,4,16,Critical,Mitigate,Enforce structured JSON output with schema validation; cross-check MITRE IDs against known technique list; implement confidence thresholds; log all raw AI responses for audit,Engineering,Open,Schema validation failures; MITRE ID validation; analyst overrides tracked,Medium
R-007,Airia AI agent,Prompt injection via logs,Crafted packet payloads or log content could manipulate AI behavior when included in the analysis prompt,3,4,12,High,Mitigate,Sanitize all log/packet data before embedding in prompts; truncate payload fields to 256 chars; use fixed system prompt; validate output structure,Engineering,Open,Output format deviation detection; prompt audit logging,Medium
R-008,Airia API,API rate limiting / outage,External API dependency with no SLA in lab environment,3,3,9,Medium,Mitigate,Implement API call retry with backoff; queue alerts during outage; add local fallback rule-based scorer for critical alerts,Engineering,Open,API response time monitoring; error rate tracking,Low
R-009,SQLite database,Data integrity issues,No input validation on DB writes; concurrent writes may corrupt WAL; no backup mechanism,3,4,12,High,Mitigate,Enable WAL mode; validate all dict fields before save_alert(); implement daily automated backup; add integrity check on startup,Engineering,Open,Startup integrity check; backup job status monitoring,Low
R-010,Flask dashboard,Authentication bypass,Dashboard runs on 0.0.0.0:5000 with no authentication,4,4,16,Critical,Mitigate,Add basic auth or token-based access control; bind to 127.0.0.1 unless explicitly exposed; add session management with timeout; implement CSRF tokens,Engineering,Open,Access log review; unauthorized request monitoring,Medium
R-011,Flask dashboard,Cross-site scripting (XSS),AI-generated report content rendered in templates without proper escaping,3,3,9,Medium,Mitigate,Use Jinja2 auto-escaping; explicitly sanitize all dynamic content; implement CSP headers; never use safe filter on untrusted data,Engineering,Open,CSP violation reports; periodic manual XSS testing,Low
R-012,Flask dashboard,Information exposure,Debug mode enabled in development; stack traces and config exposed on error,2,3,6,Medium,Mitigate,Set debug=False in production; create separate dev/prod configs; implement custom error handlers; never expose .env or API keys in error responses,Engineering,Open,Error page content review; config audit,Low
R-013,SQLite database,Missing audit logging,No record of who accessed what data or when alerts were modified,3,3,9,Medium,Mitigate,Add audit_log table; log all write operations and configuration changes; implement log rotation,Engineering,Open,Audit log completeness review,Low
R-014,Wazuh Manager,Agent communication failure,Agent may disconnect silently; alerts lost during network outage,3,3,9,Medium,Mitigate,Configure agent keep-alive monitoring; set notify_time and time-reconnect; alert on agent disconnect via Wazuh rule 503,Engineering,Open,Wazuh agent status dashboard; disconnected agent alerts,Low
R-015,custom-w2airia.py,Wazuh-to-Airia forwarding failure,Script has no supervisor; crash silently loses host-based alerts,3,4,12,High,Mitigate,Run as systemd service with restart policy; implement failed delivery journal; add health check endpoint; queue alerts during outage,Engineering,Open,Systemd service status; failed delivery file size monitoring,Medium
R-016,Wazuh Docker stack,Container resource exhaustion,Docker containers may consume all disk or memory without limits,2,4,8,Medium,Mitigate,Set Docker resource limits; configure index lifecycle management; monitor disk usage; set alerting at 80% capacity,Engineering,Open,Docker stats monitoring; disk utilization alerts,Low
R-017,System infrastructure,Lack of monitoring of system failures,No centralized monitoring of pipeline components or resource utilization,4,3,12,High,Mitigate,Implement health check script; validate tshark/Flask/Wazuh/SQLite/API status; run every 5 minutes via cron; push status to dashboard /health endpoint,Engineering,Open,Health check cron output; dashboard health widget,Medium
R-018,TheHive,Alert ingestion failure,API connectivity issues or schema changes break alert-to-case pipeline,3,3,9,Medium,Mitigate,Validate TheHive API connectivity before forwarding; implement retry with backoff; queue failed alerts; version-pin TheHive API client,Engineering,Open,Ingestion success rate metric; queued alert count,Low
R-019,TheHive,Duplicate alert creation,Same Wazuh alert forwarded multiple times creates duplicate cases,3,2,6,Medium,Mitigate,Use sourceRef deduplication in TheHive; check for existing case before creation; implement idempotent alert handling,Engineering,Open,Duplicate case detection query,Low
R-020,Cortex,Incorrect automated response,Cortex analyzer returns wrong enrichment or triggers wrong responder action,2,5,10,High,Mitigate,Validate analyzer output before acting; require human approval for responder actions above severity 3; log all Cortex decisions for audit,Engineering,Open,Cortex action audit log; analyst override rate,Medium
R-021,MISP,Threat intelligence poisoning,Compromised or low-quality MISP feeds introduce bad IOCs,2,4,8,Medium,Mitigate,Vet MISP feeds before subscribing; implement IOC confidence scoring; require minimum sighting count before auto-action; audit IOC quality,Engineering,Open,IOC false positive rate; feed quality metrics,Medium
R-022,TheHive,Case misclassification,AI severity mapping produces wrong TheHive case priority,3,3,9,Medium,Mitigate,Cross-validate AI risk level with rule severity; allow analyst override of case priority; track reclassification rate,Engineering,Open,Case reclassification rate tracking,Low
R-023,ML anomaly detector,Model drift,Detection model degrades as network baselines shift,4,3,12,High,Mitigate,Schedule monthly model retraining; track precision/recall metrics; alert when detection rate drops below threshold; maintain model version history,Engineering,Open,Model performance metrics dashboard; detection rate trending,Medium
R-024,ChromaDB / training data,Data poisoning,Attacker manipulates traffic patterns to train model on malicious baselines,2,5,10,High,Mitigate,Validate training data provenance; require analyst confirmation before data enters training set; implement anomaly detection on training data,Engineering,Open,Training data audit; model prediction divergence analysis,Medium
R-025,ChromaDB vector store,Memory corruption / data loss,ChromaDB persistence fails silently; vector store becomes inconsistent with SQLite,2,3,6,Medium,Mitigate,Regular ChromaDB backups alongside SQLite; implement consistency check; add error handling on all vector store operations,Engineering,Open,Backup verification; consistency check script,Low
R-026,Multi-agent orchestrator,Over-reliance on AI decisions,SOC team trusts AI output without verification; critical context missed by all agents,3,4,12,High,Mitigate,Mandate human review for Critical-severity alerts; display AI confidence prominently; implement AI Disagree workflow; track analyst override rate,Engineering,Open,Analyst override rate; AI-vs-human decision concordance tracking,Medium
R-027,Auto-response engine,Wrong automated blocking,Legitimate IP blocked due to false positive; service disruption,3,5,15,High,Mitigate,Default to DRY_RUN=true; maintain IP whitelist; require dual-condition trigger for auto-block; implement auto-unblock after review period; log every action with undo command,Engineering,Open,Blocked IP audit; false block rate tracking; response action log review,Medium
R-028,Auto-response engine,Automation misuse / abuse,Attacker triggers automated response against arbitrary targets,2,5,10,High,Mitigate,Rate-limit automated actions (max 5 blocks/hour); require human approval for actions affecting multiple IPs; validate source of trigger; implement cooldown period,Engineering,Open,Action rate monitoring; manual approval queue depth,Medium
R-029,Auto-response engine,Privilege escalation via response scripts,Response scripts run with sudo/root; compromised script = full system access,2,5,10,High,Mitigate,Run response scripts with minimal privileges; use capabilities instead of full root; validate commands against allowlist; audit script integrity on startup,Engineering,Open,Script integrity hash verification; privilege audit,Medium
R-030,Autonomous response system,Lack of human oversight,Fully automated loop with no circuit breaker; cascading wrong actions,2,5,10,High,Mitigate,Implement mandatory human-in-the-loop for Critical severity; add global kill switch on dashboard; cap automated actions per hour; send notifications for every action,Engineering,Open,Kill switch functionality test; notification delivery verification,Medium
R-031,Alert pipeline,Alert fatigue / overload,High volume of low-value alerts overwhelms operators; critical alerts buried,4,4,16,Critical,Mitigate,Implement alert aggregation; add severity-based notification routing; provide alert summary digest; tune detection thresholds; create Top 10 Critical dashboard view,Engineering,Open,Alert volume trending; mean-time-to-acknowledge metric; analyst workload dashboard,Medium
ID-001,Host Machine (Lab Environment),Malicious actor exploiting VM internet exposure,Manual configuration leading to VM escape vulnerabilities,1,5,5,Medium,Tolerate,Cost/benefit analysis favours acceptance for solo lab; VMs on host-only networking; VirtualBox updated to latest stable release,Engineering,Open,VirtualBox version audit; VM network adapter config review,Low
ID-002,AI API Tokens,Accidental leak (GitHub) or local malicious actor,Hardcoded secrets in configuration files,4,5,20,Critical,Mitigate,Secrets management via .env isolation and .gitignore; pre-commit hook scanning for leaked tokens; rotate keys quarterly; never log API keys in plaintext,Engineering,In Progress,.gitignore coverage audit; git log secret scan (trufflehog / gitleaks),Medium
ID-003,SQLite 3 Database,External entity with low-privilege access,Weak file permissions / missing least privilege,1,2,2,Low,Mitigate,Scripted access control and file ownership restriction (chmod 640); DB file owned by dedicated soc-lab user; no world-readable permissions,Engineering,Open,File permission audit script; ls -la check on DB path,Low
ID-004,Flask Dashboard (Port 5000),Unauthorized device on the local network,Missing network restrictions / no authentication,3,2,6,Medium,Mitigate,Network security management — IP whitelisting via iptables; bind to 127.0.0.1 for local-only or whitelist 192.168.56.0/24; port firewall rules,Engineering,Open,Port scan of Kali from external interface; firewall rule audit,Low
ID-005,Airia AI Pipeline (OpenAPI),Compromised internal host causing alert flood,Missing outbound API rate limiting / payload filtering,4,5,20,Critical,Mitigate,Secure system architecture — rate limits in soc_monitor_v2.py (max 10 API calls/min); payload size cap (4 KB); input validation; alert on anomalous call volume,Engineering,Open,API call rate dashboard metric; payload size logging,Medium
ID-006,Kali VM Storage,Unmanaged log generation (resource exhaustion),Missing log rotation / no data retention limits,3,2,6,Medium,Mitigate,Capacity management — logrotate config for logs dir; cron job to purge files older than 30 days; disk usage alert at 80%,Engineering,Open,df -h monitoring; cron job execution log,Low
ID-007,custom-w2airia.py,Malformed log data causing unhandled exception,Lack of code exception handling / no service monitoring,3,3,9,Medium,Mitigate,Secure system engineering — try/except blocks with structured error logging; run as systemd service with Restart=on-failure; add health check endpoint,Engineering,Open,systemd service status; error log monitoring; restart count tracking,Low
ID-008,Wazuh Dashboard,Unauthorized user on the local Wi-Fi,Default administrator credentials left in deployment config,5,4,20,Critical,Mitigate,Secure authentication — change default admin/SecretPassword immediately post-deploy; store credentials in .env; enforce password complexity; rotate quarterly,Engineering,Open,Credential audit; login attempt monitoring via Wazuh Dashboard logs,Medium
ID-009,YAML Detection Rules,Accidental developer misconfiguration,Improper threshold tuning causing false positive floods,3,4,12,High,Mitigate,Change management — test rules in isolation before live deployment; peer review for rule changes; maintain rule changelog; implement rule validation script,Engineering,Open,Rule change diff review; false positive rate per rule post-deployment,Low
ID-010,Wazuh Agent,External attacker with local access,Missing least privilege / no service tamper protection,3,5,15,High,Mitigate,Privileged access management — run agent as dedicated ossec user; restrict write access to agent config; enable agent self-monitoring; alert on binary modification,Engineering,Open,Agent FIM on binaries; service status alerts,Medium
ID-011,Host-Only Network,Compromised internal VM (Attacker),ARP protocol lacks authentication (stateless),3,4,12,High,Mitigate,Network security management — static ARP entries for critical hosts; enable ARP spoof detection via RULE-005; monitor for duplicate MACs,Engineering,Open,ARP table monitoring; Wazuh ARP spoof alerts,Medium
ID-012,OpenAI API (via Airia),Vendor outage or adverse policy change,Single point of failure / vendor lock-in,3,4,12,High,Mitigate,Supplier relationship management — review Airia/OpenAI ToS quarterly; abstract AI calls behind interface layer; document fallback to local LLM (Ollama); monitor vendor status,Engineering,Open,Vendor status page monitoring; API error rate trending,Medium
ID-013,Python Dependencies,Malicious actor on PyPI,Blindly pulling unpinned/unverified package versions,4,5,20,Critical,Mitigate,Technical vulnerability management — pin all versions in requirements.txt; run pip-audit before each phase; use hash verification; review dependency changelogs; subscribe to security advisories,Engineering,In Progress,pip-audit CI check; dependency version drift monitoring,Medium
ID-014,Lab Documentation,Unauthorized access to internal SOC playbooks,Lack of encryption or access control for documentation files,2,3,6,Medium,Mitigate,Information classification — store sensitive playbooks in private repo or encrypted vault; classify documents; never commit credentials to public docs,Engineering,Open,Repository visibility audit; document classification review,Low
ID-015,Compliance (Data Privacy),Accidental upload of PII to AI model,Lack of automated data masking/anonymization,3,4,12,High,Mitigate,Data masking and privacy — regex-based PII scrubber before AI submission; log data sent to API; review Airia data retention policy; add PII detection unit test,Engineering,Open,PII detection test suite; API payload audit sampling,Medium
